name,locations,nation,outsourcing,product,working_schedule,overtime
ezyPLANET,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
F88,"Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Faber Vietnam Company ,"District 1, Ho Chi Minh",Japan,False,True,Monday - Friday,False
Fairfax Imaging Viet Nam,"District 1, Ho Chi Minh",United States,False,True,Monday - Friday,False
Famtech Vietnam,"Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Friday,False
FANXIPAN,"Hoang Mai, Ha Noi",Viet Nam,False,True,Monday - Friday,False
FARENTAL,Ho Chi Minh,Australia,False,True,Monday - Friday,False
Fayfay Việt Nam,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Fetch Technology,"Ho Chi Minh, Ho Chi Minh, Ha Noi",Viet Nam,False,True,Monday - Friday,False
FIBO,"Tan Phu, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
FinOS Technology,"Ho Chi Minh, Ha Noi",Germany,False,True,Monday - Friday,False
FIPB Group Of Companies in VN,Ho Chi Minh,Viet Nam,False,True,Monday - Friday,False
FIREAPPS,"Ho Chi Minh, Da Nang",Viet Nam,False,True,Monday - Friday,False
Fitech,"Dong Da, Ha Noi",Singapore,False,True,Monday - Friday,False
Flexidata,"Phu Nhuan, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
FLIX,"District 1, Ho Chi Minh",Japan,False,True,Monday - Friday,True
Floating Cube Studios,"District 4, Ho Chi Minh",Singapore,False,True,Monday - Friday,True
Floware,"Phu Nhuan, Ho Chi Minh",United States,False,True,Monday - Friday,False
FLYNK,"District 4, Ho Chi Minh",Australia,False,True,Monday - Friday,False
Food Connection,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Fossil Vietnam,"District 4, Ho Chi Minh",United States,False,True,Monday - Friday,True
FPT International Telecom,"Ho Chi Minh, Ha Noi",Viet Nam,False,True,Monday - Friday,False
FPT Shop,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
FPT Software,"Ho Chi Minh, Da Nang, Others, Ha Noi",Viet Nam,True,False,Monday - Friday,True
FPT Telecom,"Ho Chi Minh, Ha Noi",Viet Nam,True,False,Monday - Friday,False
Fram,"District 1, Ho Chi Minh",Sweden,True,False,Monday - Friday,False
FRAMAS KOREA VINA,Others,Republic of Korea,False,True,null,False
FUJINET SYSTEMS JSC,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True
Fuji Technology JSC,"Dong Da, Ha Noi",Japan,True,False,Monday - Friday,True
Future Connect,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Futurify,"District 3, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True
Gameloft,"Ho Chi Minh, Ha Noi, Da Nang",France,False,True,Monday - Friday,False
GARENA VN/ Sea Group,"Ho Chi Minh, Ha Noi",Singapore,False,True,Monday - Friday,False
Gear Inc.,"Hai Ba Trung, Ha Noi",United States,True,False,Monday - Friday,True
Gearment LLC,"Phu Nhuan, Ho Chi Minh",United States,False,True,Monday - Friday,False
GEEK UP,"Phu Nhuan, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
GEM Corporation,"Ha Noi, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Generali Vietnam Life Insurance,"District 1, Ho Chi Minh",Italy,False,True,null,False
GeoTech,"District 1, Ho Chi Minh",Canada,False,True,Monday - Friday,False
G-Group,"Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Friday,True
GHN Express,"District 10, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Giải pháp công nghệ B & T,"Ba Dinh, Ha Noi",Viet Nam,True,False,Monday - Friday,False
GIẢI PHÁP CÔNG NGHỆ OLALA,Da Nang,Viet Nam,True,False,Monday - Friday,False
Giải pháp Công nghệ thông tin Đại Nam,Ho Chi Minh,Viet Nam,False,True,Monday - Friday,False
Giải pháp và Công nghệ GIS – VietGIS,Ha Noi,Viet Nam,True,False,Monday - Friday,False
Giao Hàng Tiết Kiệm,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False
GICO JSC,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Gigacover,"Tan Binh, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
GIGATERA,"Khu Công nghiệp Đồng Văn,Đồng Văn,Duy Tiên,Hà Nam ",Viet Nam,False,True,null,False
GKIM Viet Nam,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,True
Global CyberSoft,"Ho Chi Minh, Da Nang, Ha Noi",United States,True,False,Monday - Friday,False
Global Online Branding | GOBRANDING,"Tan Binh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Globee,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True
"GNT VN., LTD","Ho Chi Minh, Ho Chi Minh",Japan,False,True,Monday - Friday,False
 Go Game Vietnam Limited Liability Company,"District 1, Ho Chi Minh",Singapore,True,False,Monday - Friday,False
Goodia Việt Nam,"District 3, Ho Chi Minh",Japan,False,True,Monday - Friday,False
GoQuo Vietnam,"Cau Giay, Ha Noi",Malaysia,False,True,Monday - Friday,False
Gotadi,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
"Got It, Inc.","Tay Ho, Ha Noi",United States,False,True,Monday - Friday,False
Grab (Vietnam) Ltd.,"District 7, Ho Chi Minh",Malaysia,False,True,Monday - Friday,False
GRAND M,Others,Japan,True,False,Monday - Friday,False
GrapeCity,"Tay Ho, Ha Noi",Japan,False,True,Monday - Friday,True
Grasshopper Asia,"District 1, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
Groove Technology,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
gumi Vietnam,"District 3, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True
GVN Technology,"Cau Giay, Ha Noi",Viet Nam,True,False,Monday - Friday,True
Hachi Web Solutions,Ho Chi Minh,Singapore,True,False,Monday - Friday,False
Halosoft,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Hanatour Japan System Việt Nam,"District 3, Ho Chi Minh",Japan,False,True,Monday - Friday,False
Hanbiro Inc,"District 7, Ho Chi Minh",Republic of Korea,False,True,Monday - Friday,False
Hanbisoft,"Ha Dong, Ha Noi",Republic of Korea,False,True,Monday - Friday,False
HANET Việt Nam - CN HCM,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
HansenCX,"District 2, Ho Chi Minh",Australia,False,True,Monday - Friday,False
Harmony ES,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False
HAVAZ,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False
HDBank,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
HDWEBSOFT,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Hee Solutions,"District 1, Ho Chi Minh",Hong Kong,False,True,Monday - Friday,False
Hekate,"Hai Chau, Da Nang",Viet Nam,False,True,Monday - Saturday,False
Heligate,"Nam Tu Liem, Ha Noi",Viet Nam,True,False,Monday - Friday,False
Hella Vietnam,"District 1, Ho Chi Minh",Germany,False,True,Monday - Friday,False
Hello Health Group,"District 1, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
Hexience,"Ha Noi, Others, Ho Chi Minh",Hong Kong,False,True,Monday - Friday,False
HICAS,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,True
HKDA Vietnam,Ha Noi,Viet Nam,True,False,null,False
Hoang Duc Pharmaceutical and Medical Supplies,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
HOIIO,"District 3, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
Holistics,"District 10, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
Home Credit Vietnam ,"District 2, Ho Chi Minh",Czech Republic,False,True,Monday - Friday,False
Hotel Link Solutions,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
HSBC Vietnam,"Phu Nhuan, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Hubble Technology,"District 1, Ho Chi Minh",Hong Kong,False,True,Monday - Friday,True
Humax Vietnam,"Nam Tu Liem, Ha Noi",Republic of Korea,False,True,Monday - Friday,False
Hưng Thịnh Corporation,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
HV NET,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,True
Hydra X,"Binh Thanh, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
iAPPS,"District 1, Ho Chi Minh",Viet Nam,False,True,null,False
iBase Solutions and Application,"Other, Ha Noi",Viet Nam,True,False,null,False
ICC VN,"District 10, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False
iDealogic,"District 10, Ho Chi Minh",Netherlands,True,False,Monday - Friday,False
iDentalSoft,"District 4, Ho Chi Minh",United States,False,True,Monday - Friday,False
IDTV,"Ba Dinh, Ha Noi",Viet Nam,False,True,null,False
IERP,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Saturday,False
IES Vietnam ,"District 7, Ho Chi Minh",Republic of Korea,True,False,Monday - Friday,False
IFI Solution - An NTT Data Company,"Thanh Xuan, Ha Noi",Viet Nam,True,False,Monday - Friday,False
II-VI VIỆT NAM,Others,United States,False,True,Monday - Friday,False
Illum 9 Pte LTd,"District 11, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
IMLINK VIETNAM,"District 1, Ho Chi Minh",Japan,True,False,Monday - Friday,True
IMM Group,"District 3, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
iMobi,"Nam Tu Liem, Ha Noi",Viet Nam,True,False,Monday - Friday,False
IncepIT,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Inceptionlabs,"District 4, Ho Chi Minh",Singapore,False,True,Monday - Friday,True
"INFINIQ Vietnam Co.,Ltd","Nam Tu Liem, Ha Noi",Republic of Korea,False,True,Monday - Friday,True
InfoPlus,"Ha Noi, Ho Chi Minh",Republic of Korea,False,True,Monday - Friday,True
INFORMATION TECHNOLOGY SERVICES-JAPAN,"District 9, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True
Innotech Vietnam Corporation,"Ho Chi Minh, Others, Ha Noi",Viet Nam,True,False,Monday - Friday,False
Inspectorio,"District 2, Ho Chi Minh",United States,False,True,Monday - Friday,True
INSPIRE LAB TECHNOLOGY,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
INTEC Vietnam,"District 8, Ho Chi Minh",Japan,True,False,Monday - Friday,True
Intek Institute of Applied Technology,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Interactive Labs,"District 4, Ho Chi Minh",United States,False,True,Monday - Friday,False
"Inzi VINA Co., Ltd",Others,Republic of Korea,False,True,Monday - Friday,False
IONSITE Software,"Da Nang, Da Nang",Viet Nam,False,True,Monday - Saturday,False
iSciLab Viet Nam,"District 3, Ho Chi Minh",Republic of Korea,False,True,Monday - Friday,False
Isobar Commerce (Bluecom Solutions),"Ho Chi Minh, Ha Noi",France,True,False,Monday - Friday,True
ISOFH,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Saturday,True
IT Consultis,"Ho Chi Minh, Others",France,True,False,Monday - Friday,False
IVC (ISB Vietnam),"Tan Binh, Ho Chi Minh",Japan,True,False,Monday - Friday,False
IWA Ltd ,"District 3, Ho Chi Minh",Finland,False,True,Monday - Friday,False
Javac Technology,"Tan Binh, Ho Chi Minh",United States,True,False,Monday - Friday,False
Jill Lowe,Ho Chi Minh,Singapore,False,True,Monday - Friday,False
Jinformation,"Ha Noi, Ho Chi Minh, Others",Australia,False,True,Monday - Friday,False
"JMango Vietnam Operations Co.,Ltd","Nam Tu Liem, Ha Noi",Netherlands,False,True,Monday - Friday,False
JP S3 Corp.,"Tan Binh, Ho Chi Minh",Japan,False,True,Monday - Friday,False
JupViec,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False
Just Analytics,Ho Chi Minh,Singapore,False,True,Monday - Friday,False
 JVB Vietnam,"Nam Tu Liem, Ha Noi",Japan,True,False,Monday - Friday,False
JV-IT,"District 10, Ho Chi Minh",Japan,True,False,Monday - Friday,False
Kaopiz Sofware ,"Nam Tu Liem, Ha Noi",Viet Nam,True,False,Monday - Friday,True
Karros Technologies,"Tan Binh, Ho Chi Minh",United States,False,True,Monday - Friday,False
KB Securities,"Dong Da, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Keaz,"District 3, Ho Chi Minh",Australia,False,True,Monday - Friday,True
Keizu Vietnam,"District 3, Ho Chi Minh",Japan,True,False,Monday - Friday,True
KeyWay,"Dong Da, Ha Noi",Viet Nam,False,True,Monday - Friday,False
KF Group,"Nam Tu Liem, Ha Noi",Viet Nam,True,False,Monday - Friday,False
KIARA GARMENTS (VIETNAM) LTD ,"Phu An Village, Truc Ninh District of Nam Dinh",China,False,True,Monday - Friday,False
Kien Long Bank,Ho Chi Minh,Viet Nam,False,True,Monday - Friday,False
Kis Technology,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False
KIS Việt Nam,"Ha Noi, Ho Chi Minh",Japan,True,False,Monday - Friday,True
KMS Technology,"Tan Binh, Ho Chi Minh",United States,True,False,Monday - Friday,False
Knorex ,"District 1, Ho Chi Minh",Singapore,False,True,Monday - Friday,False
Koei Tecmo Software Vietnam,"Ba Dinh, Ha Noi",Japan,False,True,Monday - Friday,False
Koh Young Technology Inc,"Cau Giay, Ha Noi",Republic of Korea,False,True,Monday - Friday,True
KOLABS,"Tan Binh, Ho Chi Minh",United States,True,False,Monday - Friday,True
Konbini,Ha Noi,Singapore,False,True,Monday - Friday,True
KPMG Digital Enablement,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
KSE High-Tech Solutions,"Ha Noi, Ha Noi, Ha Noi",Viet Nam,False,True,Monday - Friday,False
